상권별(1),상권별(2),상권별(3),2024.3/4,2024.4/4,2025.1/4,2025.2/4,2025.3/4,2025.4/4,2026.1/4
"전국"	소계	소계	6.5	6.7	7.3	7.5	8.0	8.1	8.3
"서울"	소계	소계	4.9	4.8	5.3	5.1	6.6	5.9	6.3
"서울"	소계(도심지역)	소계	6.2	6.9	6.1	4.2	5.1	5.4	4.8
"서울"	소계(도심지역)	광화문	0.9	0.9	0.9	0.9	0.9	0.9	0.9
"서울"	소계(도심지역)	남대문	6.2	14.0	16.5	3.3	3.0	3.0	5.0
"서울"	소계(도심지역)	동대문	11.7	11.7	6.3	10.9	14.9	13.4	13.4
"서울"	소계(도심지역)	명동	2.4	2.4	1.2	1.2	1.2	5.3	5.3
"서울"	소계(도심지역)	방산시장	5.0	5.0	10.5	10.5	10.5	10.5	5.0
"서울"	소계(도심지역)	북촌	25.9	10.1	10.1	0.0	0.0	25.9	0.0
"서울"	소계(도심지역)	서촌	4.0	7.8	4.0	2.5	4.0	4.0	4.0
"서울"	소계(도심지역)	시청	6.6	4.3	4.3	4.3	5.3	4.3	8.1
"서울"	소계(도심지역)	을지로	2.6	2.6	2.6	2.6	2.6	2.6	2.6
"서울"	소계(도심지역)	종로	5.2	7.8	7.8	2.6	2.5	0.0	0.0
"서울"	소계(도심지역)	충무로	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"서울"	소계(강남지역)	소계	5.1	4.0	4.0	4.0	5.5	4.7	3.0
"서울"	소계(강남지역)	강남대로	0.0	0.0	15.0	15.0	0.0	0.0	0.0
"서울"	소계(강남지역)	교대역	0.0	0.0	0.0	0.5	0.5	0.5	0.5
"서울"	소계(강남지역)	남부터미널	0.0	0.0	0.0	0.0	0.0	2.0	2.0
"서울"	소계(강남지역)	논현역	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"서울"	소계(강남지역)	도산대로	13.2	6.2	0.0	0.0	0.0	0.0	0.0
"서울"	소계(강남지역)	신사역	6.8	6.8	7.6	19.8	26.8	27.5	14.9
"서울"	소계(강남지역)	압구정	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"서울"	소계(강남지역)	청담	17.4	14.4	9.6	0.0	12.3	5.8	4.9
"서울"	소계(강남지역)	테헤란로	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"서울"	소계(영등포신촌지역)	소계	2.8	3.2	3.6	3.7	7.7	5.4	6.3
"서울"	소계(영등포신촌지역)	공덕역	1.1	1.1	1.1	1.1	3.2	1.1	10.4
"서울"	소계(영등포신촌지역)	당산역	0.0	0.0	0.0	0.0	0.0	0.0	0.0
